store_id,name_restaurant,slncatch,star,review,pop_score,price,address,access,link_detail
17000494,割烹 むら井,金沢市 / 日本料理、郷土料理、海鮮,3.4,136,16.727935147815625,9999.0,石川県金沢市香林坊2-12-15,石川県金沢市香林坊2-12-15,https://tabelog.com/ishikawa/A1701/A170101/17000494/
17014968,La RINA,金沢市 / カフェ、イタリアン,3.09,21,9.551321180877196,7999.0,石川県金沢市香林坊2-1-1 クラソ?プレイス香林坊 GF,石川県金沢市香林坊2-1-1 クラソ?プレイス香林坊 GF,https://tabelog.com/ishikawa/A1701/A170101/17014968/
17001479,ビストロ オリーヴ,金沢市 / ビストロ、イタリアン,3.03,17,8.757826426425378,7999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊2-12-34 ニュー香林坊BD　１F,https://tabelog.com/ishikawa/A1701/A170101/17001479/
17010141,金澤文豪カフェあんず,金沢市 / カフェ,3.21,29,10.917843595135519,999.0,石川県金沢市香林坊2-3-18,石川県金沢市香林坊2-1-1 香林坊東急スクエア B1F,https://tabelog.com/ishikawa/A1701/A170101/17010141/
17006621,味処みよし,金沢市 / 居酒屋,3.21,30,11.023098926397319,5999.0,石川県金沢市香林坊2-1-1 香林坊東急スクエア B1F,石川県金沢市香林坊2-3-20,https://tabelog.com/ishikawa/A1701/A170101/17006621/
17010407,金澤玉寿司 せせらぎ通り店,金沢市 / 寿司,3.16,22,9.908161722336114,14999.0,石川県金沢市香林坊2-1-1 香林坊東急スクエア,石川県金沢市香林坊2-1-1 香林坊東急スクエア GF,https://tabelog.com/ishikawa/A1701/A170101/17010407/
17006959,金沢 東急ホテル,金沢市 / ホテル,3.31,58,13.496648939327933,14999.0,石川県金沢市香林坊2-1-1 香林坊東急スクエア GF,石川県金沢市香林坊2-1-1,https://tabelog.com/ishikawa/A1701/A170101/17006959/
17000675,サンニコラ 香林坊店,金沢市 / スイーツ、チョコレート、カフェ,3.54,181,18.422183672251855,999.0,石川県金沢市香林坊2-12-24,石川県金沢市香林坊2-12-24,https://tabelog.com/ishikawa/A1701/A170101/17000675/
17004873,酒房 猩猩,金沢市 / 居酒屋,3.03,18,8.921650106874313,7999.0,石川県金沢市香林坊1-1-1 香林坊大和 8Ｆ,石川県金沢市香林坊2-12-15 割烹むら井ビル　１Ｆ,https://tabelog.com/ishikawa/A1701/A170101/17004873/
17002847,ウエスト?コースト,金沢市 / 喫茶店、バー,3.19,35,11.43142541367499,999.0,石川県金沢市香林坊2-3-17,石川県金沢市香林坊2-12-33,https://tabelog.com/ishikawa/A1701/A170101/17002847/
17006587,たかじ 香林坊店,金沢市 / 居酒屋、鳥料理,3.14,12,8.053940982429225,4999.0,石川県金沢市香林坊1-1-1 香林坊アトリオ B1F,石川県金沢市香林坊2-3-17,https://tabelog.com/ishikawa/A1701/A170101/17006587/
17009941,アジェ 金沢店,金沢市 / 焼肉、ホルモン,3.05,14,8.25955311336174,4999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊2-12-24,https://tabelog.com/ishikawa/A1701/A170101/17009941/
17000296,スターバックスコーヒー 香林坊東急スクエア店,金沢市 / カフェ、パン,3.12,23,9.915527950685592,999.0,石川県金沢市香林坊1-1-1 大和香林坊店 8F,石川県金沢市香林坊2-1-1 香林坊東急スクエア 1F,https://tabelog.com/ishikawa/A1701/A170101/17000296/
17008284,ブッフェレストラン ザ ダイニング 香林坊大和,金沢市 / ビュッフェ,3.09,10,7.409496392946965,1999.0,石川県金沢市香林坊香林坊2-1-1 香林坊東急スクエア 2F,石川県金沢市香林坊1-1-1 大和香林坊店 8F,https://tabelog.com/ishikawa/A1701/A170101/17008284/
17011237,サリーナ,金沢市 / ピザ、パスタ、イタリアン,3.39,94,15.437642662525834,2999.0,石川県金沢市香林坊2-4-21,石川県金沢市香林坊2-12-39,https://tabelog.com/ishikawa/A1701/A170101/17011237/
17006402,ゴロゼット,金沢市 / イタリアン、ワインバー,3.05,29,10.373652014069574,7999.0,石川県金沢市香林坊1-1-1 大和香林坊店 2F,石川県金沢市香林坊2丁目12-20 シャトル香林坊１Ｆ,https://tabelog.com/ishikawa/A1701/A170101/17006402/
17006663,よし坊,金沢市 / おでん,3.28,43,12.412141999251896,4999.0,石川県金沢市香林坊2-12-34 ニュー香林坊ビル 1F,石川県金沢市香林坊2-4-21,https://tabelog.com/ishikawa/A1701/A170101/17006663/
17008415,金澤アンモナイト,金沢市 / 居酒屋、日本料理、郷土料理,3.56,41,13.306103841088792,4999.0,石川県金沢市香林坊2-11-17,石川県金沢市香林坊2-12-34 ニュー香林坊ビル 1F,https://tabelog.com/ishikawa/A1701/A170101/17008415/
17009052,五十嵐,金沢市 / 日本料理,3.3,57,13.399461934803183,9999.0,石川県金沢市香林坊2-1-1 香林坊109,石川県金沢市香林坊2-11-17,https://tabelog.com/ishikawa/A1701/A170101/17009052/
17003417,六角堂 せせらぎ通り店,金沢市 / ステーキ、鉄板焼き,3.28,30,11.26347803071128,14999.0,石川県金沢市香林坊2-12-35 １F,石川県金沢市香林坊2-1-1 香林坊109,https://tabelog.com/ishikawa/A1701/A170101/17003417/
17001478,ル マルス,金沢市 / ビストロ,3.65,147,18.239824799239017,5999.0,石川県金沢市香林坊2-12-15 割烹むら井ビル　１Ｆ,石川県金沢市香林坊2-12-34 ニュー香林坊ビル,https://tabelog.com/ishikawa/A1701/A170101/17001478/
17006920,とり源,金沢市 / 焼き鳥,3.03,21,9.365858633675698,7999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊2-12-35 １F,https://tabelog.com/ishikawa/A1701/A170101/17006920/
17014637,果実園リーベル 金沢店,金沢市 / フルーツパーラー、カフェ、ケーキ,3.11,11,7.728059680840681,2999.0,石川県金沢市香林坊1-1-1 香林坊アトリオ B1F,石川県金沢市香林坊1-1-1 香林坊アトリオ B1F,https://tabelog.com/ishikawa/A1701/A170101/17014637/
17011321,秋吉 香林坊店,金沢市 / 焼き鳥、串揚げ、居酒屋,3.11,17,8.989056167057072,3999.0,石川県金沢市香林坊2-11-21,石川県金沢市香林坊2-11-4,https://tabelog.com/ishikawa/A1701/A170101/17011321/
17000340,魚半 武家屋敷前店,金沢市 / 郷土料理、日本料理,3.12,15,8.650476813388117,5999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊2-12-15,https://tabelog.com/ishikawa/A1701/A170101/17000340/
17010522,和のダイニング 美味彩膳 大和香林坊店,金沢市 / 日本料理、とんかつ、うどん,3.17,21,9.798604577145861,1999.0,石川県金沢市香林坊1-1-1 大和香林坊店 8F,石川県金沢市香林坊1-1-1 大和香林坊店 8F,https://tabelog.com/ishikawa/A1701/A170101/17010522/
17011955,ジェラテリア リトルタ,金沢市 / ジェラート?アイスクリーム,3.4,61,14.032256909153311,999.0,石川県金沢市香林坊2-12-15,石川県金沢市香林坊2-12-15,https://tabelog.com/ishikawa/A1701/A170101/17011955/
17011344,ルロワと満月とワイン,金沢市 / 居酒屋,3.05,10,7.31358058203503,5999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊2-12-18 ZOINEビル 1F,https://tabelog.com/ishikawa/A1701/A170101/17011344/
17003871,銀座天一 金沢店,金沢市 / 天ぷら、天丼、日本料理,3.28,43,12.412141999251896,3999.0,石川県金沢市香林坊2-12-18 ZOINEビル 1F,石川県金沢市香林坊1-1-1 大和香林坊店 8F,https://tabelog.com/ishikawa/A1701/A170101/17003871/
17007893,ゑびすや 香林坊大和店,金沢市 / お好み焼き、たい焼き?大判焼き,3.03,28,10.202906364859016,999.0,石川県金沢市香林坊1-1-1 大和香林坊店 8F,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17007893/
17010566,ハム&ゴー コーヒーアンドストック 香林坊アトリオ店,金沢市 / カフェ,3.28,53,13.08386767273082,1999.0,石川県金沢市香林坊1-1-1 香林坊アトリオ B1F,石川県金沢市香林坊1-1-1 香林坊アトリオ B1F,https://tabelog.com/ishikawa/A1701/A170101/17010566/
17012118,DEMEL 大和香林坊店,金沢市 / 洋菓子、ケーキ,3.01,9,6.930781129912078,1999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17012118/
17011733,金沢 うら田 香林坊大和店,金沢市 / 和菓子、大福,3.05,9,7.0228845336318395,999.0,石川県金沢市香林坊1-1-1 香林坊大和 B1F,石川県金沢市香林坊1-1-1 香林坊大和 B1F,https://tabelog.com/ishikawa/A1701/A170101/17011733/
17013036,梅の花plus 香林坊大和店,金沢市 / 豆腐料理、飲茶?点心、弁当,3.09,3,4.283649575860462,999.0,石川県金沢市香林坊1-2-16,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17013036/
17011539,浪花古市庵 香林坊大和店,金沢市 / 寿司、日本料理,3.01,4,4.844408116426641,999.0,石川県金沢市香林坊1-1-1 大和百貨店香林坊店 B1F,石川県金沢市香林坊1-1-1 大和百貨店香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17011539/
17007116,とんかつ まい泉 香林坊大和店,金沢市 / とんかつ、サンドイッチ、弁当,3.01,6,5.857189548656493,999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17007116/
17013920,大友楼 香林坊大和店,金沢市 / 惣菜?デリ,3.0,1,2.0794415416798357,999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17013920/
